date,season,venue,team1,team2,toss_winner,toss_decision,winner
2022-12-21,2022/23,"GMHBA Stadium, South Geelong, Victoria",Brisbane Heat,Melbourne Renegades,Brisbane Heat,bat,Melbourne Renegades
2022-12-22,2022/23,Sydney Cricket Ground,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,bat,Sydney Sixers
2022-12-23,2022/23,"Junction Oval, Melbourne",Perth Scorchers,Melbourne Stars,Perth Scorchers,bat,Perth Scorchers
2022-12-23,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Adelaide Strikers,Brisbane Heat,bat,Brisbane Heat
2022-12-24,2022/23,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,bat,Hobart Hurricanes
2022-12-26,2022/23,Sydney Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2022-12-26,2022/23,Perth Stadium,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,bat,Perth Scorchers
2022-12-27,2022/23,Sydney Showground Stadium,Brisbane Heat,Sydney Thunder,Brisbane Heat,bat,Sydney Thunder
2022-12-28,2022/23,Sydney Cricket Ground,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Sydney Sixers
2022-12-29,2022/23,Carrara Oval,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Sydney Thunder
2022-12-29,2022/23,Perth Stadium,Melbourne Stars,Perth Scorchers,Melbourne Stars,bat,Perth Scorchers
2022-12-30,2022/23,"GMHBA Stadium, South Geelong, Victoria",Melbourne Renegades,Sydney Sixers,Melbourne Renegades,bat,Sydney Sixers
2022-12-31,2022/23,Adelaide Oval,Melbourne Stars,Adelaide Strikers,Melbourne Stars,bat,Melbourne Stars
2022-12-31,2022/23,"Lavington Sports Oval, Albury",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Thunder
2023-01-01,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,Brisbane Heat
2023-01-01,2022/23,"Docklands Stadium, Melbourne",Melbourne Renegades,Perth Scorchers,Melbourne Renegades,bat,Perth Scorchers
2023-01-02,2022/23,"Bellerive Oval, Hobart",Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Hobart Hurricanes
2023-01-03,2022/23,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Renegades
2023-01-04,2022/23,"North Sydney Oval, Sydney",Brisbane Heat,Sydney Sixers,Sydney Sixers,field,
2023-01-04,2022/23,Perth Stadium,Perth Scorchers,Sydney Thunder,Perth Scorchers,bat,Sydney Thunder
2023-01-05,2022/23,Adelaide Oval,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
2023-01-06,2022/23,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2023-01-07,2022/23,"Docklands Stadium, Melbourne",Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
2023-01-07,2022/23,Perth Stadium,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2023-01-08,2022/23,Sydney Showground Stadium,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2023-01-09,2022/23,"Bellerive Oval, Hobart",Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
2023-01-10,2022/23,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Adelaide Strikers
2023-01-11,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2023-01-12,2022/23,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
