team1,team2,winner,toss_winner,toss_decision,venue,date,season
Gloucestershire,Surrey,Gloucestershire,Surrey,bat,County Ground,2016-07-06,2016
Somerset,Kent,Kent,Kent,bat,County Ground,2016-07-07,2016
Glamorgan,Sussex,Glamorgan,Sussex,field,Sophia Gardens,2016-07-07,2016
Surrey,Somerset,Surrey,Somerset,field,Kennington Oval,2016-07-08,2016
Worcestershire,Lancashire,Lancashire,Lancashire,field,"County Ground, New Road",2016-07-08,2016
Northamptonshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,County Ground,2016-07-08,2016
Middlesex,Glamorgan,Glamorgan,Glamorgan,field,Old Deer Park,2016-07-08,2016
Hampshire,Essex,Essex,Essex,bat,The Rose Bowl,2016-07-08,2016
Leicestershire,Derbyshire,Leicestershire,Leicestershire,field,Grace Road,2016-07-08,2016
Yorkshire,Warwickshire,Yorkshire,Yorkshire,bat,Headingley,2016-07-08,2016
Gloucestershire,Kent,Kent,Gloucestershire,field,County Ground,2016-07-08,2016
Nottinghamshire,Worcestershire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2016-07-09,2016
Derbyshire,Yorkshire,Yorkshire,Derbyshire,field,County Ground,2016-07-10,2016
Durham,Leicestershire,Durham,Durham,field,Riverside Ground,2016-07-10,2016
Glamorgan,Gloucestershire,Gloucestershire,Glamorgan,bat,Sophia Gardens,2016-07-10,2016
Derbyshire,Lancashire,Derbyshire,Derbyshire,field,County Ground,2016-07-13,2016
Hampshire,Glamorgan,Hampshire,Glamorgan,field,The Rose Bowl,2016-07-14,2016
Worcestershire,Warwickshire,Worcestershire,Worcestershire,field,"County Ground, New Road",2016-07-15,2016
Sussex,Hampshire,Hampshire,Hampshire,bat,County Ground,2016-07-15,2016
Leicestershire,Lancashire,Leicestershire,Lancashire,field,Grace Road,2016-07-15,2016
Somerset,Middlesex,Middlesex,Somerset,bat,County Ground,2016-07-15,2016
Durham,Northamptonshire,Durham,Durham,field,Riverside Ground,2016-07-15,2016
Kent,Surrey,Kent,Surrey,bat,Nevill Ground,2016-07-15,2016
Nottinghamshire,Yorkshire,Nottinghamshire,Yorkshire,bat,Trent Bridge,2016-07-15,2016
Gloucestershire,Essex,Gloucestershire,Essex,field,College Ground,2016-07-17,2016
Warwickshire,Leicestershire,Warwickshire,Leicestershire,field,Edgbaston,2016-07-17,2016
Northamptonshire,Warwickshire,Northamptonshire,Warwickshire,field,County Ground,2016-07-19,2016
Yorkshire,Durham,Yorkshire,Yorkshire,bat,Headingley,2016-07-20,2016
Middlesex,Surrey,Middlesex,Surrey,bat,Lord's,2016-07-21,2016
Essex,Sussex,Sussex,Essex,field,County Ground,2016-07-21,2016
Derbyshire,Worcestershire,Derbyshire,Worcestershire,field,County Ground,2016-07-22,2016
Surrey,Sussex,Surrey,Surrey,field,Kennington Oval,2016-07-22,2016
Glamorgan,Somerset,Glamorgan,Glamorgan,field,Sophia Gardens,2016-07-22,2016
Yorkshire,Northamptonshire,Yorkshire,Yorkshire,bat,Headingley,2016-07-22,2016
Hampshire,Middlesex,Middlesex,Middlesex,bat,The Rose Bowl,2016-07-22,2016
Warwickshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Edgbaston,2016-07-22,2016
Kent,Essex,Essex,Essex,bat,St Lawrence Ground,2016-07-22,2016
Durham,Lancashire,Lancashire,Durham,field,Riverside Ground,2016-07-22,2016
Sussex,Glamorgan,,Sussex,field,County Ground,2016-07-28,2016
Middlesex,Essex,Essex,Essex,field,Lord's,2016-07-28,2016
Lancashire,Warwickshire,Lancashire,Lancashire,bat,Old Trafford,2016-07-29,2016
Durham,Derbyshire,Durham,Derbyshire,field,Riverside Ground,2016-07-29,2016
Essex,Glamorgan,,Essex,field,County Ground,2016-07-29,2016
Surrey,Kent,Surrey,Surrey,bat,Kennington Oval,2016-07-29,2016
Gloucestershire,Middlesex,Gloucestershire,Middlesex,bat,County Ground,2016-07-29,2016
Hampshire,Somerset,Hampshire,Hampshire,bat,The Rose Bowl,2016-07-29,2016
Northamptonshire,Yorkshire,Yorkshire,Yorkshire,bat,County Ground,2016-07-29,2016
Nottinghamshire,Leicestershire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2016-07-29,2016
Nottinghamshire,Essex,Nottinghamshire,Essex,field,Trent Bridge,2016-08-08,2016
Northamptonshire,Middlesex,Northamptonshire,Middlesex,bat,County Ground,2016-08-09,2016
Gloucestershire,Durham,Durham,Durham,bat,County Ground,2016-08-10,2016
Glamorgan,Yorkshire,Yorkshire,Yorkshire,bat,Sophia Gardens,2016-08-11,2016
Durham,Northamptonshire,Northamptonshire,Durham,bat,Edgbaston,2016-08-20,2016
Nottinghamshire,Northamptonshire,Northamptonshire,Nottinghamshire,field,Edgbaston,2016-08-20,2016
Durham,Yorkshire,Durham,Durham,bat,Edgbaston,2016-08-20,2016
Yorkshire,Nottinghamshire,Yorkshire,Yorkshire,bat,Headingley,2017-07-07,2017
Northamptonshire,Derbyshire,Derbyshire,Derbyshire,field,County Ground,2017-07-07,2017
Surrey,Essex,Surrey,Essex,field,County Ground,2017-07-07,2017
Gloucestershire,Middlesex,,Middlesex,field,College Ground,2017-07-07,2017
Worcestershire,Warwickshire,Warwickshire,Warwickshire,field,"County Ground, New Road",2017-07-07,2017
Hampshire,Glamorgan,Hampshire,Glamorgan,field,Sophia Gardens,2017-07-07,2017
Lancashire,Durham,Lancashire,Durham,field,Riverside Ground,2017-07-07,2017
Derbyshire,Yorkshire,Derbyshire,Derbyshire,bat,Queen's Park,2017-07-08,2017
Nottinghamshire,Warwickshire,Warwickshire,Warwickshire,field,Edgbaston,2017-07-08,2017
Durham,Northamptonshire,Northamptonshire,Northamptonshire,field,Riverside Ground,2017-07-09,2017
Glamorgan,Sussex,Glamorgan,Sussex,field,Arundel Castle Cricket Club Ground,2017-07-09,2017
Surrey,Somerset,Surrey,Somerset,field,Kennington Oval,2017-07-09,2017
Lancashire,Leicestershire,Leicestershire,Leicestershire,field,Aigburth,2017-07-09,2017
Essex,Kent,Kent,Essex,bat,The Kent County Cricket Ground,2017-07-09,2017
Hampshire,Sussex,Hampshire,Sussex,field,County Ground,2017-07-12,2017
Essex,Somerset,Essex,Somerset,field,County Ground,2017-07-13,2017
Surrey,Middlesex,Middlesex,Surrey,bat,Lord's,2017-07-13,2017
Kent,Gloucestershire,Gloucestershire,Gloucestershire,field,College Ground,2017-07-13,2017
Worcestershire,Leicestershire,Leicestershire,Worcestershire,bat,"County Ground, New Road",2017-07-14,2017
Hampshire,Middlesex,Hampshire,Hampshire,bat,The Rose Bowl,2017-07-14,2017
Lancashire,Yorkshire,,Lancashire,bat,Old Trafford,2017-07-14,2017
Surrey,Kent,Kent,Kent,field,Kennington Oval,2017-07-14,2017
Warwickshire,Northamptonshire,Northamptonshire,Northamptonshire,field,Edgbaston,2017-07-14,2017
Glamorgan,Somerset,,Somerset,field,Sophia Gardens,2017-07-15,2017
Somerset,Middlesex,Somerset,Somerset,bat,Uxbridge Cricket Club Ground,2017-07-16,2017
Sussex,Gloucestershire,,Sussex,bat,College Ground,2017-07-16,2017
Essex,Glamorgan,Glamorgan,Essex,bat,County Ground,2017-07-16,2017
Leicestershire,Warwickshire,Leicestershire,Warwickshire,field,Edgbaston,2017-07-16,2017
Derbyshire,Lancashire,Lancashire,Derbyshire,bat,Old Trafford,2017-07-16,2017
Gloucestershire,Kent,Gloucestershire,Kent,field,St Lawrence Ground,2017-07-18,2017
Worcestershire,Derbyshire,Derbyshire,Derbyshire,field,"County Ground, New Road",2017-07-19,2017
Surrey,Essex,Surrey,Essex,field,Kennington Oval,2017-07-19,2017
Middlesex,Kent,Middlesex,Kent,field,Old Deer Park,2017-07-20,2017
Leicestershire,Durham,Leicestershire,Durham,field,Riverside Ground,2017-07-20,2017
Hampshire,Sussex,Sussex,Hampshire,bat,The Rose Bowl,2017-07-20,2017
Hampshire,Essex,Essex,Essex,field,County Ground,2017-07-21,2017
Northamptonshire,Leicestershire,Northamptonshire,Leicestershire,field,Grace Road,2017-07-21,2017
Yorkshire,Warwickshire,Yorkshire,Warwickshire,field,Headingley,2017-07-21,2017
Surrey,Middlesex,Surrey,Surrey,bat,Kennington Oval,2017-07-21,2017
Nottinghamshire,Derbyshire,Nottinghamshire,Derbyshire,field,Trent Bridge,2017-07-21,2017
Sussex,Glamorgan,,Glamorgan,field,Sophia Gardens,2017-07-21,2017
Northamptonshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2017-07-22,2017
Warwickshire,Derbyshire,Warwickshire,Derbyshire,field,Edgbaston,2017-07-23,2017
Kent,Sussex,,Sussex,field,County Ground,2017-07-23,2017
Middlesex,Somerset,Somerset,Somerset,field,The Cooper Associates County Ground,2017-07-23,2017
Yorkshire,Worcestershire,Yorkshire,Worcestershire,field,Headingley,2017-07-23,2017
Lancashire,Durham,Lancashire,Lancashire,bat,Old Trafford,2017-07-23,2017
Glamorgan,Gloucestershire,Glamorgan,Gloucestershire,field,County Ground,2017-07-25,2017
Durham,Nottinghamshire,Nottinghamshire,Durham,bat,Riverside Ground,2017-07-25,2017
Yorkshire,Durham,Yorkshire,Yorkshire,bat,Headingley,2017-07-26,2017
Somerset,Hampshire,Somerset,Somerset,bat,The Cooper Associates County Ground,2017-07-26,2017
Worcestershire,Nottinghamshire,Worcestershire,Nottinghamshire,field,Trent Bridge,2017-07-26,2017
Somerset,Kent,Kent,Somerset,bat,St Lawrence Ground,2017-07-27,2017
Middlesex,Essex,Middlesex,Essex,field,Lord's,2017-07-27,2017
Worcestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,County Ground,2017-07-27,2017
Middlesex,Sussex,,Middlesex,bat,County Ground,2017-07-28,2017
Leicestershire,Durham,Durham,Leicestershire,bat,Grace Road,2017-07-28,2017
Gloucestershire,Hampshire,Hampshire,Hampshire,field,County Ground,2017-07-28,2017
Lancashire,Warwickshire,Warwickshire,Warwickshire,field,Edgbaston,2017-07-30,2017
Glamorgan,Kent,Glamorgan,Kent,field,St Lawrence Ground,2017-07-30,2017
Leicestershire,Derbyshire,Derbyshire,Derbyshire,field,County Ground,2017-07-30,2017
Somerset,Sussex,Somerset,Sussex,field,The Cooper Associates County Ground,2017-07-30,2017
Yorkshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2017-07-30,2017
Durham,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road",2017-07-30,2017
Warwickshire,Northamptonshire,Warwickshire,Northamptonshire,field,County Ground,2017-08-01,2017
Kent,Hampshire,Kent,Kent,bat,The Rose Bowl,2017-08-01,2017
Nottinghamshire,Leicestershire,,Leicestershire,field,Grace Road,2017-08-02,2017
Middlesex,Hampshire,Hampshire,Middlesex,bat,Lord's,2017-08-03,2017
Surrey,Sussex,Sussex,Surrey,bat,County Ground,2017-08-03,2017
Yorkshire,Derbyshire,Derbyshire,Yorkshire,bat,Headingley,2017-08-03,2017
Gloucestershire,Glamorgan,Gloucestershire,Glamorgan,field,Sophia Gardens,2017-08-03,2017
Northamptonshire,Lancashire,Northamptonshire,Lancashire,field,County Ground,2017-08-03,2017
Hampshire,Essex,Essex,Essex,field,The Rose Bowl,2017-08-04,2017
Lancashire,Leicestershire,Lancashire,Leicestershire,field,Grace Road,2017-08-04,2017
Nottinghamshire,Derbyshire,Nottinghamshire,Derbyshire,field,County Ground,2017-08-04,2017
Durham,Yorkshire,Durham,Durham,bat,Riverside Ground,2017-08-04,2017
Somerset,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2017-08-04,2017
Kent,Sussex,Sussex,Kent,bat,St Lawrence Ground,2017-08-04,2017
Glamorgan,Surrey,Glamorgan,Glamorgan,bat,Kennington Oval,2017-08-04,2017
Worcestershire,Warwickshire,Worcestershire,Warwickshire,field,Edgbaston,2017-08-04,2017
Northamptonshire,Worcestershire,Northamptonshire,Worcestershire,field,"County Ground, New Road",2017-08-05,2017
Durham,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2017-08-05,2017
Surrey,Somerset,Somerset,Surrey,bat,The Cooper Associates County Ground,2017-08-06,2017
Middlesex,Sussex,Middlesex,Sussex,field,Lord's,2017-08-10,2017
Glamorgan,Hampshire,Hampshire,Glamorgan,bat,The Rose Bowl,2017-08-10,2017
Yorkshire,Lancashire,Yorkshire,Yorkshire,bat,Headingley,2017-08-11,2017
Gloucestershire,Sussex,Sussex,Sussex,field,County Ground,2017-08-11,2017
Leicestershire,Northamptonshire,Leicestershire,Northamptonshire,field,County Ground,2017-08-11,2017
Essex,Middlesex,Essex,Middlesex,field,County Ground,2017-08-11,2017
Durham,Worcestershire,Durham,Durham,bat,Riverside Ground,2017-08-11,2017
Warwickshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2017-08-11,2017
Kent,Hampshire,Hampshire,Hampshire,field,St Lawrence Ground,2017-08-11,2017
Somerset,Kent,Kent,Kent,field,The Cooper Associates County Ground,2017-08-12,2017
Yorkshire,Leicestershire,Leicestershire,Leicestershire,field,Grace Road,2017-08-12,2017
Durham,Warwickshire,Warwickshire,Durham,bat,Riverside Ground,2017-08-13,2017
Gloucestershire,Essex,Essex,Essex,field,County Ground,2017-08-13,2017
Glamorgan,Somerset,Glamorgan,Somerset,field,The Cooper Associates County Ground,2017-08-13,2017
Nottinghamshire,Worcestershire,Nottinghamshire,Worcestershire,field,"County Ground, New Road",2017-08-13,2017
Surrey,Sussex,Surrey,Surrey,bat,Kennington Oval,2017-08-13,2017
Middlesex,Gloucestershire,Middlesex,Gloucestershire,field,Uxbridge Cricket Club Ground,2017-08-15,2017
Durham,Derbyshire,Derbyshire,Durham,bat,County Ground,2017-08-15,2017
Worcestershire,Lancashire,Lancashire,Lancashire,field,Old Trafford,2017-08-16,2017
Kent,Essex,Kent,Essex,field,County Ground,2017-08-17,2017
Derbyshire,Leicestershire,Leicestershire,Leicestershire,field,Grace Road,2017-08-17,2017
Gloucestershire,Surrey,Surrey,Gloucestershire,bat,Kennington Oval,2017-08-17,2017
Yorkshire,Northamptonshire,Yorkshire,Yorkshire,bat,Headingley,2017-08-17,2017
Leicestershire,Nottinghamshire,Leicestershire,Nottinghamshire,field,Trent Bridge,2017-08-18,2017
Somerset,Hampshire,Somerset,Somerset,bat,The Rose Bowl,2017-08-18,2017
Durham,Northamptonshire,,Northamptonshire,field,County Ground,2017-08-18,2017
Lancashire,Warwickshire,Warwickshire,Warwickshire,field,Old Trafford,2017-08-18,2017
Derbyshire,Worcestershire,Derbyshire,Worcestershire,field,County Ground,2017-08-18,2017
Sussex,Essex,Sussex,Essex,field,County Ground,2017-08-18,2017
Surrey,Kent,Surrey,Surrey,bat,St Lawrence Ground,2017-08-18,2017
Middlesex,Glamorgan,Glamorgan,Glamorgan,field,Sophia Gardens,2017-08-18,2017
Hampshire,Derbyshire,Hampshire,Derbyshire,field,County Ground,2017-08-22,2017
Leicestershire,Glamorgan,Glamorgan,Leicestershire,bat,Sophia Gardens,2017-08-23,2017
Somerset,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2017-08-24,2017
Surrey,Warwickshire,Warwickshire,Warwickshire,field,Kennington Oval,2017-08-25,2017
Warwickshire,Glamorgan,Warwickshire,Glamorgan,field,Edgbaston,2017-09-02,2017
Nottinghamshire,Hampshire,Nottinghamshire,Hampshire,field,Edgbaston,2017-09-02,2017
Nottinghamshire,Warwickshire,Nottinghamshire,Warwickshire,field,Edgbaston,2017-09-02,2017
Sussex,Essex,Sussex,Sussex,bat,County Ground,2018-07-04,2018
Northamptonshire,Leicestershire,Leicestershire,Leicestershire,field,County Ground,2018-07-04,2018
Nottinghamshire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,Trent Bridge,2018-07-04,2018
Lancashire,Worcestershire,Worcestershire,Lancashire,bat,Old Trafford,2018-07-05,2018
Yorkshire,Durham,Yorkshire,Durham,field,Headingley,2018-07-05,2018
Surrey,Middlesex,Middlesex,Surrey,bat,Lord's,2018-07-05,2018
Derbyshire,Lancashire,Lancashire,Lancashire,field,County Ground,2018-07-06,2018
Kent,Surrey,Kent,Kent,bat,Kennington Oval,2018-07-06,2018
Durham,Leicestershire,Durham,Leicestershire,field,Grace Road,2018-07-06,2018
Gloucestershire,Somerset,Somerset,Somerset,field,The Cooper Associates County Ground,2018-07-06,2018
Nottinghamshire,Northamptonshire,Nottinghamshire,Northamptonshire,field,County Ground,2018-07-06,2018
Middlesex,Essex,Essex,Middlesex,bat,County Ground,2018-07-06,2018
Glamorgan,Hampshire,Glamorgan,Hampshire,field,The Rose Bowl,2018-07-06,2018
Worcestershire,Birmingham Bears,Worcestershire,Birmingham Bears,field,"County Ground, New Road",2018-07-06,2018
Yorkshire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,Edgbaston,2018-07-08,2018
Northamptonshire,Lancashire,Lancashire,Northamptonshire,bat,Old Trafford,2018-07-08,2018
Glamorgan,Sussex,Sussex,Glamorgan,bat,Sophia Gardens,2018-07-08,2018
Middlesex,Gloucestershire,Gloucestershire,Gloucestershire,field,Uxbridge Cricket Club Ground,2018-07-08,2018
Derbyshire,Worcestershire,Worcestershire,Worcestershire,field,County Ground,2018-07-08,2018
Somerset,Kent,Kent,Kent,field,The Cooper Associates County Ground,2018-07-08,2018
Nottinghamshire,Leicestershire,Nottinghamshire,Leicestershire,field,Grace Road,2018-07-08,2018
Gloucestershire,Kent,Gloucestershire,Kent,field,County Ground,2018-07-11,2018
Hampshire,Sussex,Sussex,Sussex,field,The Rose Bowl,2018-07-12,2018
Surrey,Essex,Surrey,Surrey,bat,Kennington Oval,2018-07-12,2018
Surrey,Sussex,Surrey,Sussex,field,County Ground,2018-07-13,2018
Somerset,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2018-07-13,2018
Nottinghamshire,Derbyshire,Nottinghamshire,Derbyshire,field,County Ground,2018-07-13,2018
Worcestershire,Northamptonshire,Worcestershire,Northamptonshire,field,"County Ground, New Road",2018-07-13,2018
Leicestershire,Birmingham Bears,Leicestershire,Birmingham Bears,field,Edgbaston,2018-07-13,2018
Essex,Glamorgan,Glamorgan,Glamorgan,field,County Ground,2018-07-13,2018
Kent,Hampshire,Kent,Hampshire,field,The Kent County Cricket Ground,2018-07-13,2018
Yorkshire,Durham,Yorkshire,Yorkshire,bat,Riverside Ground,2018-07-13,2018
Lancashire,Derbyshire,Lancashire,Lancashire,bat,Old Trafford,2018-07-14,2018
Durham,Birmingham Bears,Durham,Durham,bat,Edgbaston,2018-07-15,2018
Yorkshire,Worcestershire,Yorkshire,Worcestershire,field,"County Ground, New Road",2018-07-15,2018
Durham,Nottinghamshire,Durham,Nottinghamshire,field,Trent Bridge,2018-07-17,2018
Leicestershire,Lancashire,Lancashire,Lancashire,field,Grace Road,2018-07-18,2018
Middlesex,Somerset,Somerset,Middlesex,bat,Lord's,2018-07-19,2018
Derbyshire,Northamptonshire,Derbyshire,Northamptonshire,field,County Ground,2018-07-19,2018
Lancashire,Yorkshire,Lancashire,Yorkshire,field,Old Trafford,2018-07-20,2018
Somerset,Glamorgan,Somerset,Glamorgan,field,Sophia Gardens,2018-07-20,2018
Worcestershire,Durham,Durham,Durham,field,Riverside Ground,2018-07-20,2018
Northamptonshire,Birmingham Bears,,Birmingham Bears,field,Edgbaston,2018-07-20,2018
Leicestershire,Nottinghamshire,Leicestershire,Nottinghamshire,field,Trent Bridge,2018-07-20,2018
Surrey,Kent,,Surrey,bat,St Lawrence Ground,2018-07-20,2018
Hampshire,Middlesex,Hampshire,Hampshire,bat,The Rose Bowl,2018-07-20,2018
Essex,Gloucestershire,,Gloucestershire,field,College Ground,2018-07-20,2018
Hampshire,Essex,,Hampshire,bat,County Ground,2018-07-21,2018
Middlesex,Hampshire,Middlesex,Hampshire,field,Lord's,2018-07-26,2018
Northamptonshire,Worcestershire,Worcestershire,Worcestershire,field,County Ground,2018-07-27,2018
Leicestershire,Derbyshire,Derbyshire,Leicestershire,bat,Grace Road,2018-07-27,2018
Somerset,Surrey,Surrey,Surrey,field,Kennington Oval,2018-07-27,2018
Nottinghamshire,Lancashire,Nottinghamshire,Lancashire,field,Trent Bridge,2018-07-27,2018
Gloucestershire,Glamorgan,Gloucestershire,Glamorgan,field,College Ground,2018-07-27,2018
Kent,Sussex,,Sussex,field,St Lawrence Ground,2018-07-27,2018
Yorkshire,Birmingham Bears,Yorkshire,Yorkshire,bat,Headingley,2018-07-27,2018
Yorkshire,Derbyshire,Derbyshire,Yorkshire,bat,Queen's Park,2018-07-28,2018
Nottinghamshire,Durham,Durham,Durham,field,Riverside Ground,2018-07-28,2018
Somerset,Middlesex,Somerset,Middlesex,field,The Cooper Associates County Ground,2018-07-29,2018
Derbyshire,Yorkshire,Derbyshire,Yorkshire,field,Headingley,2018-07-30,2018
Yorkshire,Leicestershire,Yorkshire,Yorkshire,bat,Headingley,2018-07-31,2018
Surrey,Glamorgan,Glamorgan,Surrey,bat,Kennington Oval,2018-07-31,2018
Sussex,Gloucestershire,Gloucestershire,Sussex,bat,County Ground,2018-08-01,2018
Somerset,Hampshire,Somerset,Hampshire,field,The Cooper Associates County Ground,2018-08-01,2018
Leicestershire,Birmingham Bears,Birmingham Bears,Leicestershire,bat,Grace Road,2018-08-02,2018
Sussex,Middlesex,Sussex,Sussex,bat,Lord's,2018-08-02,2018
Nottinghamshire,Derbyshire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2018-08-02,2018
Kent,Essex,Kent,Kent,bat,St Lawrence Ground,2018-08-02,2018
Durham,Northamptonshire,Durham,Northamptonshire,field,Riverside Ground,2018-08-02,2018
Kent,Hampshire,Kent,Kent,bat,The Rose Bowl,2018-08-03,2018
Northamptonshire,Yorkshire,Yorkshire,Northamptonshire,bat,Headingley,2018-08-03,2018
Lancashire,Leicestershire,Leicestershire,Lancashire,bat,Old Trafford,2018-08-03,2018
Middlesex,Surrey,Surrey,Middlesex,bat,Kennington Oval,2018-08-03,2018
Durham,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road",2018-08-03,2018
Derbyshire,Birmingham Bears,Derbyshire,Derbyshire,bat,County Ground,2018-08-03,2018
Essex,Somerset,Somerset,Essex,bat,The Cooper Associates County Ground,2018-08-03,2018
Worcestershire,Nottinghamshire,Worcestershire,Worcestershire,bat,Trent Bridge,2018-08-04,2018
Sussex,Somerset,Somerset,Somerset,field,County Ground,2018-08-05,2018
Birmingham Bears,Northamptonshire,Birmingham Bears,Birmingham Bears,bat,County Ground,2018-08-05,2018
Middlesex,Glamorgan,Glamorgan,Glamorgan,field,Old Deer Park,2018-08-05,2018
Kent,Gloucestershire,Gloucestershire,Kent,bat,St Lawrence Ground,2018-08-05,2018
Essex,Surrey,Surrey,Surrey,field,County Ground,2018-08-05,2018
Durham,Lancashire,Durham,Durham,bat,Old Trafford,2018-08-07,2018
Glamorgan,Essex,Glamorgan,Essex,field,Sophia Gardens,2018-08-07,2018
Hampshire,Somerset,Somerset,Somerset,field,The Rose Bowl,2018-08-08,2018
Durham,Leicestershire,Durham,Durham,bat,Riverside Ground,2018-08-08,2018
Derbyshire,Northamptonshire,Northamptonshire,Derbyshire,bat,County Ground,2018-08-08,2018
Worcestershire,Derbyshire,Worcestershire,Worcestershire,bat,"County Ground, New Road",2018-08-09,2018
Gloucestershire,Middlesex,Gloucestershire,Middlesex,field,County Ground,2018-08-09,2018
Sussex,Surrey,,Surrey,field,Kennington Oval,2018-08-09,2018
Yorkshire,Lancashire,Lancashire,Yorkshire,bat,Headingley,2018-08-09,2018
Nottinghamshire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,Edgbaston,2018-08-09,2018
Lancashire,Birmingham Bears,Lancashire,Lancashire,bat,Old Trafford,2018-08-10,2018
Durham,Northamptonshire,Durham,Northamptonshire,field,County Ground,2018-08-10,2018
Hampshire,Glamorgan,Glamorgan,Glamorgan,field,Sophia Gardens,2018-08-10,2018
Surrey,Somerset,Somerset,Somerset,field,The Cooper Associates County Ground,2018-08-10,2018
Leicestershire,Worcestershire,Leicestershire,Worcestershire,field,Grace Road,2018-08-10,2018
Nottinghamshire,Yorkshire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2018-08-10,2018
Leicestershire,Derbyshire,,Derbyshire,field,County Ground,2018-08-11,2018
Gloucestershire,Surrey,Gloucestershire,Surrey,field,County Ground,2018-08-12,2018
Somerset,Glamorgan,Somerset,Glamorgan,field,The Cooper Associates County Ground,2018-08-12,2018
Lancashire,Durham,Lancashire,Durham,field,Riverside Ground,2018-08-12,2018
Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"County Ground, New Road",2018-08-12,2018
Middlesex,Kent,Kent,Kent,field,The Kent County Cricket Ground,2018-08-12,2018
Essex,Hampshire,,Hampshire,field,The Rose Bowl,2018-08-12,2018
Sussex,Glamorgan,Sussex,Glamorgan,field,County Ground,2018-08-14,2018
Lancashire,Birmingham Bears,Birmingham Bears,Lancashire,bat,Edgbaston,2018-08-15,2018
Hampshire,Surrey,Surrey,Hampshire,bat,Kennington Oval,2018-08-15,2018
Kent,Somerset,Kent,Somerset,field,St Lawrence Ground,2018-08-16,2018
Middlesex,Essex,Essex,Essex,field,Lord's,2018-08-16,2018
Northamptonshire,Yorkshire,Yorkshire,Northamptonshire,bat,County Ground,2018-08-16,2018
Gloucestershire,Sussex,Sussex,Gloucestershire,bat,County Ground,2018-08-16,2018
Leicestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,Grace Road,2018-08-17,2018
Sussex,Middlesex,Sussex,Middlesex,field,County Ground,2018-08-17,2018
Glamorgan,Surrey,Surrey,Glamorgan,bat,Sophia Gardens,2018-08-17,2018
Yorkshire,Nottinghamshire,Nottinghamshire,Yorkshire,bat,Headingley,2018-08-17,2018
Gloucestershire,Hampshire,Hampshire,Hampshire,field,The Rose Bowl,2018-08-17,2018
Essex,Kent,Kent,Kent,field,County Ground,2018-08-17,2018
Worcestershire,Birmingham Bears,Worcestershire,Birmingham Bears,field,Edgbaston,2018-08-17,2018
Kent,Lancashire,Lancashire,Kent,bat,St Lawrence Ground,2018-08-23,2018
Durham,Sussex,Sussex,Durham,bat,Riverside Ground,2018-08-24,2018
Gloucestershire,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road",2018-08-25,2018
Somerset,Nottinghamshire,Somerset,Nottinghamshire,field,The Cooper Associates County Ground,2018-08-26,2018
Sussex,Worcestershire,Worcestershire,Sussex,bat,Edgbaston,2018-09-15,2018
Worcestershire,Lancashire,Worcestershire,Lancashire,field,Edgbaston,2018-09-15,2018
Sussex,Somerset,Sussex,Sussex,bat,Edgbaston,2018-09-15,2018
Middlesex,Essex,Middlesex,Middlesex,field,Lord's,2019-07-18,2019
Nottinghamshire,Worcestershire,Worcestershire,Worcestershire,bat,Trent Bridge,2019-07-18,2019
Glamorgan,Somerset,Somerset,Somerset,field,Sophia Gardens,2019-07-18,2019
Durham,Northamptonshire,Durham,Northamptonshire,field,Riverside Ground,2019-07-19,2019
Essex,Surrey,Essex,Surrey,field,County Ground,2019-07-19,2019
Gloucestershire,Glamorgan,,Gloucestershire,field,College Ground,2019-07-19,2019
Derbyshire,Yorkshire,Derbyshire,Yorkshire,bat,Queen's Park,2019-07-20,2019
Kent,Somerset,Kent,Kent,bat,St Lawrence Ground,2019-07-20,2019
Hampshire,Kent,Kent,Hampshire,bat,The Rose Bowl,2019-07-21,2019
Birmingham Bears,Leicestershire,Birmingham Bears,Birmingham Bears,field,Edgbaston,2019-07-21,2019
Lancashire,Durham,Lancashire,Lancashire,bat,Old Trafford,2019-07-21,2019
