team1,team2,winner,toss_winner,toss_decision,venue,date,season
Northamptonshire,Warwickshire,Northamptonshire,Warwickshire,field,County Ground,2014-07-03,2014
Middlesex,Glamorgan,Glamorgan,Middlesex,bat,Old Deer Park,2014-07-03,2014
Northamptonshire,Leicestershire,,Leicestershire,field,Grace Road,2014-07-04,2014
Surrey,Essex,Essex,Essex,field,County Ground,2014-07-04,2014
Hampshire,Kent,Hampshire,Kent,field,St Lawrence Ground,2014-07-04,2014
Gloucestershire,Sussex,Gloucestershire,Sussex,field,County Ground,2014-07-04,2014
Somerset,Hampshire,Somerset,Somerset,bat,The Rose Bowl,2014-07-06,2014
Lancashire,Worcestershire,Lancashire,Worcestershire,field,"County Ground, New Road",2014-07-06,2014
Derbyshire,Leicestershire,Leicestershire,Leicestershire,field,Queen's Park,2014-07-06,2014
Nottinghamshire,Warwickshire,Nottinghamshire,Warwickshire,field,Edgbaston,2014-07-08,2014
Middlesex,Hampshire,Middlesex,Hampshire,field,The Rose Bowl,2014-07-11,2014
Worcestershire,Warwickshire,Warwickshire,Warwickshire,field,Edgbaston,2014-07-11,2014
Yorkshire,Durham,Yorkshire,Durham,field,Riverside Ground,2014-07-11,2014
Lancashire,Leicestershire,Lancashire,Lancashire,bat,Grace Road,2014-07-11,2014
Derbyshire,Northamptonshire,Northamptonshire,Northamptonshire,field,County Ground,2014-07-11,2014
Somerset,Gloucestershire,Somerset,Gloucestershire,field,The Cooper Associates County Ground,2014-07-11,2014
Kent,Sussex,Kent,Sussex,field,County Ground,2014-07-11,2014
Glamorgan,Surrey,Glamorgan,Surrey,field,Kennington Oval,2014-07-11,2014
Essex,Kent,Essex,Kent,field,Castle Park Cricket Ground,2014-07-12,2014
Yorkshire,Derbyshire,Yorkshire,Derbyshire,field,Queen's Park,2014-07-13,2014
Glamorgan,Sussex,Sussex,Glamorgan,bat,County Ground,2014-07-15,2014
Somerset,Surrey,Surrey,Surrey,field,Kennington Oval,2014-07-16,2014
Yorkshire,Warwickshire,Warwickshire,Yorkshire,bat,Headingley,2014-07-18,2014
Glamorgan,Essex,Essex,Essex,field,Sophia Gardens,2014-07-18,2014
Hampshire,Sussex,Hampshire,Hampshire,bat,The Rose Bowl,2014-07-18,2014
Kent,Somerset,Kent,Kent,bat,St Lawrence Ground,2014-07-18,2014
Worcestershire,Northamptonshire,Worcestershire,Worcestershire,bat,County Ground,2014-07-18,2014
Lancashire,Derbyshire,Lancashire,Lancashire,bat,Old Trafford,2014-07-18,2014
Durham,Leicestershire,Leicestershire,Leicestershire,field,Grace Road,2014-07-18,2014
Surrey,Gloucestershire,Surrey,Gloucestershire,field,College Ground,2014-07-18,2014
Nottinghamshire,Leicestershire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2014-07-20,2014
Essex,Gloucestershire,Gloucestershire,Gloucestershire,field,College Ground,2014-07-20,2014
Essex,Hampshire,Hampshire,Hampshire,field,County Ground,2014-07-22,2014
Nottinghamshire,Northamptonshire,Nottinghamshire,Nottinghamshire,bat,County Ground,2014-07-23,2014
Lancashire,Durham,Lancashire,Lancashire,bat,Old Trafford,2014-07-24,2014
Middlesex,Surrey,Surrey,Middlesex,bat,Lord's,2014-07-24,2014
Somerset,Middlesex,Somerset,Somerset,bat,The Cooper Associates County Ground,2014-07-25,2014
Gloucestershire,Glamorgan,Glamorgan,Glamorgan,field,Sophia Gardens,2014-07-25,2014
Worcestershire,Derbyshire,Worcestershire,Derbyshire,field,"County Ground, New Road",2014-07-25,2014
Yorkshire,Nottinghamshire,Nottinghamshire,Yorkshire,bat,Headingley,2014-07-25,2014
Warwickshire,Leicestershire,Warwickshire,Leicestershire,field,Edgbaston,2014-07-25,2014
Essex,Sussex,Sussex,Sussex,field,County Ground,2014-07-25,2014
Kent,Surrey,Kent,Kent,bat,St Lawrence Ground,2014-07-25,2014
Northamptonshire,Durham,Durham,Northamptonshire,bat,Riverside Ground,2014-07-25,2014
Lancashire,Glamorgan,Lancashire,Glamorgan,field,Old Trafford,2014-08-01,2014
Worcestershire,Surrey,Surrey,Surrey,field,Kennington Oval,2014-08-02,2014
Warwickshire,Essex,Warwickshire,Essex,field,County Ground,2014-08-02,2014
Nottinghamshire,Hampshire,Hampshire,Nottinghamshire,bat,Trent Bridge,2014-08-03,2014
Warwickshire,Lancashire,Warwickshire,Warwickshire,bat,Edgbaston,2014-08-23,2014
Lancashire,Hampshire,Lancashire,Hampshire,field,Edgbaston,2014-08-23,2014
Warwickshire,Surrey,Warwickshire,Surrey,field,Edgbaston,2014-08-23,2014
Derbyshire,Yorkshire,Yorkshire,Yorkshire,field,Headingley,2015-05-15,2015
Glamorgan,Surrey,Glamorgan,Surrey,field,Kennington Oval,2015-05-15,2015
Warwickshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2015-05-15,2015
Durham,Northamptonshire,Durham,Northamptonshire,field,Riverside Ground,2015-05-15,2015
Kent,Sussex,Kent,Kent,bat,St Lawrence Ground,2015-05-15,2015
Hampshire,Essex,Hampshire,Hampshire,bat,The Rose Bowl,2015-05-15,2015
Middlesex,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2015-05-15,2015
Leicestershire,Lancashire,Lancashire,Leicestershire,bat,Old Trafford,2015-05-15,2015
Surrey,Essex,Surrey,Essex,field,County Ground,2015-05-16,2015
Sussex,Gloucestershire,Sussex,Gloucestershire,field,County Ground,2015-05-17,2015
Warwickshire,Worcestershire,Warwickshire,Worcestershire,field,Edgbaston,2015-05-22,2015
Glamorgan,Essex,Essex,Essex,field,Sophia Gardens,2015-05-22,2015
Hampshire,Kent,Kent,Hampshire,bat,The Rose Bowl,2015-05-22,2015
Durham,Lancashire,Durham,Durham,bat,Old Trafford,2015-05-22,2015
Derbyshire,Leicestershire,Leicestershire,Leicestershire,field,Grace Road,2015-05-22,2015
Nottinghamshire,Yorkshire,Yorkshire,Yorkshire,field,Trent Bridge,2015-05-22,2015
Gloucestershire,Essex,Gloucestershire,Essex,field,County Ground,2015-05-24,2015
Durham,Leicestershire,Leicestershire,Durham,bat,Grace Road,2015-05-28,2015
Middlesex,Kent,Middlesex,Middlesex,bat,Lord's,2015-05-28,2015
Durham,Yorkshire,Durham,Yorkshire,field,Riverside Ground,2015-05-29,2015
Leicestershire,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road",2015-05-29,2015
Middlesex,Sussex,Middlesex,Middlesex,bat,County Ground,2015-05-29,2015
Lancashire,Derbyshire,Derbyshire,Derbyshire,field,County Ground,2015-05-29,2015
Kent,Surrey,Kent,Kent,bat,The Kent County Cricket Ground,2015-05-29,2015
Essex,Somerset,Somerset,Somerset,field,County Ground,2015-05-29,2015
Northamptonshire,Warwickshire,Warwickshire,Northamptonshire,bat,County Ground,2015-05-29,2015
Hampshire,Glamorgan,Hampshire,Glamorgan,field,Sophia Gardens,2015-05-29,2015
Kent,Somerset,Kent,Kent,bat,The Cooper Associates County Ground,2015-05-31,2015
Nottinghamshire,Durham,Nottinghamshire,Durham,field,Trent Bridge,2015-05-31,2015
Hampshire,Middlesex,Hampshire,Hampshire,bat,The Rose Bowl,2015-06-04,2015
Durham,Derbyshire,Durham,Derbyshire,field,County Ground,2015-06-05,2015
Glamorgan,Middlesex,Glamorgan,Glamorgan,bat,Sophia Gardens,2015-06-05,2015
Kent,Gloucestershire,Gloucestershire,Kent,bat,The Kent County Cricket Ground,2015-06-05,2015
Nottinghamshire,Leicestershire,Leicestershire,Leicestershire,field,Trent Bridge,2015-06-05,2015
Hampshire,Somerset,Somerset,Hampshire,bat,The Cooper Associates County Ground,2015-06-05,2015
Surrey,Essex,Essex,Surrey,bat,Kennington Oval,2015-06-05,2015
Yorkshire,Lancashire,Lancashire,Lancashire,field,Headingley,2015-06-05,2015
Worcestershire,Northamptonshire,Worcestershire,Worcestershire,bat,County Ground,2015-06-05,2015
Durham,Warwickshire,Warwickshire,Warwickshire,field,Riverside Ground,2015-06-06,2015
Nottinghamshire,Worcestershire,Nottinghamshire,Worcestershire,field,"County Ground, New Road",2015-06-07,2015
Essex,Gloucestershire,Essex,Gloucestershire,field,County Ground,2015-06-11,2015
Derbyshire,Northamptonshire,Northamptonshire,Derbyshire,bat,County Ground,2015-06-11,2015
Nottinghamshire,Warwickshire,Warwickshire,Warwickshire,field,Edgbaston,2015-06-12,2015
Sussex,Essex,Essex,Essex,field,County Ground,2015-06-12,2015
Northamptonshire,Leicestershire,,Leicestershire,field,Grace Road,2015-06-12,2015
Worcestershire,Durham,Worcestershire,Worcestershire,bat,Riverside Ground,2015-06-12,2015
Kent,Hampshire,Hampshire,Kent,bat,St Lawrence Ground,2015-06-12,2015
Glamorgan,Gloucestershire,Glamorgan,Gloucestershire,field,County Ground,2015-06-12,2015
Lancashire,Derbyshire,Lancashire,Derbyshire,field,Old Trafford,2015-06-12,2015
Somerset,Glamorgan,Glamorgan,Glamorgan,field,Sophia Gardens,2015-06-13,2015
Gloucestershire,Middlesex,Gloucestershire,Middlesex,field,Old Deer Park,2015-06-14,2015
Sussex,Surrey,,Sussex,bat,Arundel Castle Cricket Club Ground,2015-06-14,2015
Yorkshire,Northamptonshire,Northamptonshire,Northamptonshire,field,Headingley,2015-06-14,2015
Derbyshire,Leicestershire,Derbyshire,Leicestershire,field,County Ground,2015-06-18,2015
Essex,Kent,Kent,Kent,field,St Lawrence Ground,2015-06-18,2015
Lancashire,Worcestershire,Worcestershire,Lancashire,bat,Old Trafford,2015-06-18,2015
Hampshire,Middlesex,Hampshire,Hampshire,bat,Lord's,2015-06-18,2015
Warwickshire,Leicestershire,Leicestershire,Warwickshire,bat,Edgbaston,2015-06-19,2015
Essex,Glamorgan,Essex,Glamorgan,field,County Ground,2015-06-19,2015
Gloucestershire,Somerset,Somerset,Gloucestershire,bat,County Ground,2015-06-19,2015
Hampshire,Sussex,Sussex,Sussex,field,The Rose Bowl,2015-06-19,2015
Derbyshire,Worcestershire,Worcestershire,Derbyshire,bat,"County Ground, New Road",2015-06-19,2015
Northamptonshire,Lancashire,Northamptonshire,Lancashire,field,County Ground,2015-06-19,2015
Kent,Surrey,Kent,Kent,bat,Kennington Oval,2015-06-19,2015
Yorkshire,Nottinghamshire,Yorkshire,Nottinghamshire,field,Headingley,2015-06-19,2015
Glamorgan,Sussex,Sussex,Sussex,field,Sophia Gardens,2015-06-21,2015
Yorkshire,Warwickshire,Warwickshire,Yorkshire,bat,Edgbaston,2015-06-21,2015
Durham,Lancashire,Lancashire,Durham,bat,Riverside Ground,2015-06-25,2015
Essex,Hampshire,Essex,Hampshire,field,County Ground,2015-06-26,2015
Northamptonshire,Worcestershire,Northamptonshire,Worcestershire,field,"County Ground, New Road",2015-06-26,2015
Middlesex,Somerset,Somerset,Middlesex,bat,Uxbridge Cricket Club Ground,2015-06-26,2015
Derbyshire,Nottinghamshire,Derbyshire,Derbyshire,bat,County Ground,2015-06-26,2015
Warwickshire,Lancashire,Warwickshire,Warwickshire,bat,Old Trafford,2015-06-26,2015
Gloucestershire,Sussex,Sussex,Gloucestershire,bat,County Ground,2015-06-26,2015
Surrey,Glamorgan,Surrey,Glamorgan,field,Sophia Gardens,2015-06-26,2015
Leicestershire,Yorkshire,,Yorkshire,field,Grace Road,2015-06-26,2015
Northamptonshire,Nottinghamshire,Nottinghamshire,Northamptonshire,bat,Trent Bridge,2015-06-27,2015
Glamorgan,Somerset,Glamorgan,Somerset,field,The Cooper Associates County Ground,2015-06-28,2015
Gloucestershire,Surrey,Surrey,Gloucestershire,bat,Kennington Oval,2015-07-01,2015
Middlesex,Sussex,Sussex,Sussex,field,Lord's,2015-07-02,2015
Warwickshire,Derbyshire,Warwickshire,Derbyshire,field,Edgbaston,2015-07-03,2015
Durham,Leicestershire,Durham,Leicestershire,field,Riverside Ground,2015-07-03,2015
Glamorgan,Hampshire,Glamorgan,Glamorgan,bat,The Rose Bowl,2015-07-03,2015
Lancashire,Yorkshire,Lancashire,Yorkshire,field,Old Trafford,2015-07-03,2015
Worcestershire,Nottinghamshire,Worcestershire,Worcestershire,bat,Trent Bridge,2015-07-03,2015
Somerset,Gloucestershire,Gloucestershire,Somerset,bat,The Cooper Associates County Ground,2015-07-03,2015
Middlesex,Surrey,Surrey,Middlesex,bat,Kennington Oval,2015-07-03,2015
Sussex,Kent,Kent,Kent,field,County Ground,2015-07-03,2015
Warwickshire,Leicestershire,Warwickshire,Warwickshire,bat,Grace Road,2015-07-04,2015
Durham,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road",2015-07-05,2015
Northamptonshire,Derbyshire,Northamptonshire,Derbyshire,field,Queen's Park,2015-07-05,2015
Hampshire,Surrey,Hampshire,Surrey,field,The Rose Bowl,2015-07-10,2015
Kent,Somerset,Kent,Somerset,field,St Lawrence Ground,2015-07-10,2015
Lancashire,Leicestershire,Lancashire,Leicestershire,field,Grace Road,2015-07-10,2015
Essex,Middlesex,Middlesex,Essex,bat,Old Deer Park,2015-07-10,2015
Nottinghamshire,Derbyshire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2015-07-10,2015
Glamorgan,Sussex,Sussex,Glamorgan,bat,County Ground,2015-07-10,2015
Worcestershire,Warwickshire,Warwickshire,Warwickshire,field,"County Ground, New Road",2015-07-10,2015
Durham,Yorkshire,Yorkshire,Durham,bat,Headingley,2015-07-10,2015
Yorkshire,Derbyshire,Derbyshire,Derbyshire,field,Queen's Park,2015-07-12,2015
Gloucestershire,Kent,Kent,Kent,field,College Ground,2015-07-12,2015
Leicestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,County Ground,2015-07-12,2015
Hampshire,Gloucestershire,Gloucestershire,Gloucestershire,field,College Ground,2015-07-14,2015
Worcestershire,Yorkshire,Worcestershire,Worcestershire,bat,Headingley,2015-07-14,2015
Lancashire,Nottinghamshire,Nottinghamshire,Lancashire,bat,Old Trafford,2015-07-15,2015
Hampshire,Sussex,Hampshire,Sussex,field,County Ground,2015-07-17,2015
Glamorgan,Kent,Glamorgan,Glamorgan,bat,Nevill Ground,2015-07-17,2015
Surrey,Somerset,Surrey,Surrey,bat,Kennington Oval,2015-07-17,2015
Nottinghamshire,Durham,Nottinghamshire,Durham,field,Riverside Ground,2015-07-17,2015
Middlesex,Essex,Essex,Middlesex,bat,County Ground,2015-07-17,2015
Yorkshire,Northamptonshire,Northamptonshire,Northamptonshire,field,County Ground,2015-07-17,2015
Derbyshire,Worcestershire,Worcestershire,Derbyshire,bat,County Ground,2015-07-17,2015
Lancashire,Warwickshire,Lancashire,Warwickshire,field,Edgbaston,2015-07-17,2015
Warwickshire,Northamptonshire,Warwickshire,Northamptonshire,field,Edgbaston,2015-07-22,2015
Hampshire,Somerset,Hampshire,Hampshire,bat,The Rose Bowl,2015-07-23,2015
Middlesex,Surrey,Middlesex,Middlesex,bat,Lord's,2015-07-23,2015
Glamorgan,Gloucestershire,Gloucestershire,Gloucestershire,field,Sophia Gardens,2015-07-24,2015
Warwickshire,Yorkshire,Yorkshire,Warwickshire,bat,Headingley,2015-07-24,2015
Sussex,Northamptonshire,Northamptonshire,Northamptonshire,field,County Ground,2015-08-12,2015
Hampshire,Worcestershire,Hampshire,Worcestershire,field,"County Ground, New Road",2015-08-14,2015
Kent,Lancashire,Lancashire,Lancashire,field,St Lawrence Ground,2015-08-15,2015
Lancashire,Northamptonshire,Lancashire,Northamptonshire,field,Edgbaston,2015-08-29,2015
Warwickshire,Northamptonshire,Northamptonshire,Northamptonshire,field,Edgbaston,2015-08-29,2015
Hampshire,Lancashire,Lancashire,Hampshire,bat,Edgbaston,2015-08-29,2015
Nottinghamshire,Warwickshire,Warwickshire,Warwickshire,field,Trent Bridge,2016-05-20,2016
Worcestershire,Durham,Worcestershire,Durham,field,"County Ground, New Road",2016-05-20,2016
Leicestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,Grace Road,2016-05-20,2016
Kent,Somerset,Kent,Somerset,bat,St Lawrence Ground,2016-05-20,2016
Essex,Surrey,Surrey,Essex,field,County Ground,2016-05-20,2016
Gloucestershire,Sussex,Sussex,Gloucestershire,field,County Ground,2016-05-20,2016
Lancashire,Derbyshire,Derbyshire,Derbyshire,field,Old Trafford,2016-05-21,2016
Surrey,Glamorgan,Glamorgan,Surrey,bat,Kennington Oval,2016-05-26,2016
